sampler,step_size,n_runs,mean_energy_mean,mean_energy_std,mode_imbalance_mean,mode_imbalance_std,acceptance_rate_mean,acceptance_rate_std
MALA,0.005,5,0.7664033291271135,0.029370177535052007,0.012890625,0.007385808750464468,0.9997882812500001,2.9022149407804658e-05
ULA,0.005,5,0.7389215016441683,0.03094072632246687,0.023828125,0.021546430266440018,,
MALA,0.02,5,0.7616744695203848,0.025176669649191755,0.021484375,0.007933631254527305,0.9983640625,7.199590713738462e-05
ULA,0.02,5,0.7497013584028442,0.015633648446133686,0.024609375,0.021108212634541088,,
MALA,0.05,5,0.7390800897423829,0.027986936795798983,0.022265625,0.010111077426206863,0.99359453125,0.00021356865937122635
ULA,0.05,5,0.7581041596348815,0.04106264882651614,0.01328125,0.017868692205441686,,
MALA,0.1,5,0.7348140115625483,0.0347470776838958,0.0140625,0.0069603631567208835,0.9822390625,0.00040575578412101047
ULA,0.1,5,0.784072901431698,0.045860849008705844,0.01796875,0.019056735808828856,,
MALA,0.2,5,0.7234656931754624,0.04374269301521023,0.01484375,0.012087303474035783,0.9519554687499999,0.0009308299506207714
ULA,0.2,5,0.8159230575223729,0.046036468801573124,0.018359375,0.012627523340034854,,
